Private:Deposits,Private:Loans,Private:GovBonds,Private:Currency,Private:NetWorth,Banks:Loans,Banks:Reserves,Banks:Deposits,Banks:BankEquity,Government:TGA,Government:GovBonds,Government:GovEquity,CentralBank:Reserves,CentralBank:Currency,CentralBank:TGA,CentralBank:GovBonds,CentralBank:CBEq
2028.2176029783236,2163.8510635372227,9529.836469084523,0.0,9394.203008525625,2163.8510635372227,236.23930569602865,2028.2176029783236,371.8727662549277,0.0,9529.836469084523,-9529.836469084523,236.23930569602865,0.0,0.0,0.0,-236.23930569602865
2044.3334580710537,2185.489574172595,9630.00067313122,0.0,9488.844557029679,2185.489574172595,236.6330378721887,2044.3334580710537,377.78915397373,0.0,9630.00067313122,-9630.00067313122,236.6330378721887,0.0,0.0,0.0,-236.6330378721887
2060.606999780596,2207.344469914321,9730.376945283919,0.0,9583.639475150194,2207.344469914321,237.02742626864233,2060.606999780596,383.7648964023674,0.0,9730.376945283919,-9730.376945283919,237.02742626864233,0.0,0.0,0.0,-237.02742626864233
2077.039802079842,2229.4179146134643,9830.965827654467,0.0,9678.587715120844,2229.4179146134643,237.42247197909003,2077.039802079842,389.80058451271225,0.0,9830.965827654467,-9830.965827654467,237.42247197909003,0.0,0.0,0.0,-237.42247197909003
2093.6334546789985,2251.712093759599,9931.76786461917,0.0,9773.68922553857,2251.712093759599,237.81817609905517,2093.6334546789985,395.89681517965573,0.0,9931.76786461917,-9931.76786461917,237.81817609905517,0.0,0.0,0.0,-237.81817609905517
2110.3895631829614,2274.229214697195,10032.783602835136,0.0,9868.943951320904,2274.229214697195,238.21453972588694,2110.3895631829614,402.0541912401204,0.0,10032.783602835136,-10032.783602835136,238.21453972588694,0.0,0.0,0.0,-238.21453972588694
2127.309749250262,2296.971506844167,10134.01359125674,0.0,9964.351833662835,2296.971506844167,238.61156395876338,2127.309749250262,408.2733215526682,0.0,10134.01359125674,-10134.01359125674,238.61156395876338,0.0,0.0,0.0,-238.61156395876338
2144.395650753598,2319.9412219126084,10235.458381152275,0.0,10059.912809993266,2319.9412219126084,239.0092498986947,2144.395650753598,414.5548210577049,0.0,10235.458381152275,-10235.458381152275,239.0092498986947,0.0,0.0,0.0,-239.0092498986947
2161.648921941977,2343.1406341317343,10337.11852612073,0.0,10155.626813930972,2343.1406341317343,239.4075986485259,2161.648921941977,420.8993108382833,0.0,10337.11852612073,-10337.11852612073,239.4075986485259,0.0,0.0,0.0,-239.4075986485259
2179.0712336044735,2366.5720404730514,10438.994582108735,0.0,10251.493775240158,2366.5720404730514,239.80661131294008,2179.0712336044735,427.3074181815182,0.0,10438.994582108735,-10438.994582108735,239.80661131294008,0.0,0.0,0.0,-239.80661131294008
2196.664273235631,2390.237760877782,10541.087107427667,0.0,10347.513619785515,2390.237760877782,240.20628899846167,2196.664273235631,433.7797766406129,0.0,10541.087107427667,-10541.087107427667,240.20628899846167,0.0,0.0,0.0,-240.20628899846167
2214.4297452025125,2414.14013848656,10643.396662770901,0.0,10443.686269486854,2414.14013848656,240.6066328134591,2214.4297452025125,440.3170260975062,0.0,10643.396662770901,-10643.396662770901,240.6066328134591,0.0,0.0,0.0,-240.6066328134591
2232.369370913425,2438.2815398714256,10745.923811231234,0.0,10540.011642273232,2438.2815398714256,241.00764386814816,2232.369370913425,446.9198128261487,0.0,10745.923811231234,-10745.923811231234,241.00764386814816,0.0,0.0,0.0,-241.00764386814816
